shipment_id,order_date,promised_delivery_date,delivery_date,warehouse,region,carrier,product_category,quantity,inventory_on_hand,shipping_cost,delivery_status
SHP100054,2024-02-22,2024-02-25,2024-02-28,Calgary WH,Alberta,UPS,Electronics,59,3338,268.85,Late
SHP100055,2024-12-05,2024-12-13,2024-12-07,Calgary WH,Ontario,Canada Post,Electronics,124,3514,95.6,On Time
SHP100056,2024-04-01,2024-04-06,2024-04-09,Montreal WH,Ontario,FedEx,Home Goods,130,4953,207.02,Late
SHP100057,2024-09-20,2024-09-28,2024-09-29,Toronto WH,Quebec,DHL,Apparel,97,759,245.78,Late
SHP100058,2024-02-04,2024-02-12,2024-02-18,Montreal WH,Quebec,FedEx,Electronics,167,2768,65.96,Late
SHP100059,2024-07-24,2024-07-27,2024-07-31,Toronto WH,Alberta,DHL,Apparel,189,3088,143.9,Late
SHP100060,2024-03-21,2024-03-27,2024-03-27,Calgary WH,Ontario,Canada Post,Apparel,107,2115,158.27,On Time
SHP100061,2024-02-19,2024-02-26,2024-02-26,Vancouver WH,British Columbia,DHL,Home Goods,191,4228,107.39,On Time
SHP100062,2024-12-25,2025-01-03,2024-12-28,Montreal WH,Quebec,DHL,Electronics,18,1723,154.89,On Time
SHP100063,2024-01-02,2024-01-09,2024-01-04,Toronto WH,British Columbia,DHL,Home Goods,145,2966,108.91,On Time
SHP100064,2024-02-23,2024-03-01,2024-03-02,Calgary WH,Quebec,FedEx,Medical Supplies,167,429,121.01,Late
SHP100065,2024-04-15,2024-04-19,2024-04-23,Toronto WH,Quebec,UPS,Medical Supplies,71,2355,207.41,Late
SHP100066,2024-09-16,2024-09-19,2024-09-27,Toronto WH,Ontario,FedEx,Electronics,106,2459,197.13,Late
SHP100067,2024-11-05,2024-11-14,2024-11-17,Toronto WH,Quebec,UPS,Apparel,54,4192,85.03,Late
SHP100068,2024-07-09,2024-07-15,2024-07-20,Calgary WH,British Columbia,FedEx,Electronics,94,1718,271.3,Late
SHP100069,2024-08-05,2024-08-09,2024-08-08,Vancouver WH,Quebec,Canada Post,Electronics,76,1265,261.58,On Time
SHP100070,2024-02-13,2024-02-18,2024-02-16,Vancouver WH,Alberta,Canada Post,Medical Supplies,35,1308,162.54,On Time
SHP100071,2024-06-10,2024-06-16,2024-06-12,Vancouver WH,Ontario,DHL,Medical Supplies,11,1050,141.31,On Time
SHP100072,2024-07-20,2024-07-28,2024-07-31,Toronto WH,Ontario,Canada Post,Apparel,61,3473,125.52,Late
SHP100073,2024-09-26,2024-10-02,2024-10-05,Calgary WH,Alberta,DHL,Apparel,44,2249,218.04,Late
SHP100074,2024-12-16,2024-12-22,2024-12-25,Toronto WH,Alberta,UPS,Electronics,121,2809,208.07,Late
SHP100075,2024-10-30,2024-11-06,2024-11-01,Vancouver WH,Alberta,Canada Post,Home Goods,68,2921,74.93,On Time
SHP100076,2024-09-27,2024-10-03,2024-10-10,Vancouver WH,Quebec,UPS,Electronics,25,4676,208.01,Late
SHP100077,2024-08-02,2024-08-10,2024-08-14,Calgary WH,Ontario,FedEx,Apparel,176,4041,90.68,Late
SHP100078,2024-09-08,2024-09-16,2024-09-17,Toronto WH,Alberta,UPS,Home Goods,160,2417,25.2,Late
SHP100079,2024-07-08,2024-07-11,2024-07-18,Montreal WH,Quebec,FedEx,Medical Supplies,84,532,215.78,Late
SHP100080,2024-10-22,2024-10-28,2024-10-27,Montreal WH,Alberta,UPS,Apparel,114,898,200.54,On Time
SHP100081,2024-07-31,2024-08-07,2024-08-02,Vancouver WH,British Columbia,UPS,Apparel,132,2654,135.03,On Time
SHP100082,2024-07-26,2024-08-01,2024-07-28,Calgary WH,British Columbia,Canada Post,Home Goods,166,1469,167.19,On Time
SHP100083,2024-08-24,2024-08-29,2024-08-28,Toronto WH,Ontario,UPS,Apparel,191,2920,285.21,On Time
SHP100084,2024-12-03,2024-12-08,2024-12-09,Toronto WH,Quebec,Canada Post,Apparel,175,1252,186.66,Late
SHP100085,2024-02-22,2024-02-29,2024-02-28,Vancouver WH,British Columbia,Canada Post,Apparel,1,769,204.21,On Time
SHP100086,2024-10-06,2024-10-09,2024-10-16,Vancouver WH,British Columbia,DHL,Apparel,131,833,37.9,Late
SHP100087,2024-08-04,2024-08-07,2024-08-15,Toronto WH,Quebec,DHL,Apparel,86,2209,66.48,Late
SHP100088,2024-09-08,2024-09-16,2024-09-21,Toronto WH,Alberta,FedEx,Apparel,62,4649,104.27,Late
SHP100089,2024-07-06,2024-07-14,2024-07-09,Vancouver WH,Quebec,UPS,Apparel,64,3424,171.03,On Time
SHP100090,2024-02-10,2024-02-14,2024-02-13,Toronto WH,Alberta,FedEx,Apparel,145,1091,237.45,On Time
SHP100091,2024-06-05,2024-06-12,2024-06-12,Montreal WH,British Columbia,UPS,Medical Supplies,126,1196,109.95,On Time
SHP100092,2024-01-15,2024-01-21,2024-01-25,Vancouver WH,British Columbia,DHL,Apparel,105,3914,119.79,Late
SHP100093,2024-10-27,2024-11-05,2024-10-29,Toronto WH,British Columbia,DHL,Medical Supplies,62,1660,91.72,On Time
SHP100094,2024-03-05,2024-03-12,2024-03-15,Vancouver WH,Ontario,UPS,Medical Supplies,35,4654,91.29,Late
SHP100095,2024-12-10,2024-12-14,2024-12-20,Calgary WH,Ontario,UPS,Electronics,13,260,285.68,Late
SHP100096,2024-11-22,2024-11-30,2024-12-06,Vancouver WH,Ontario,DHL,Electronics,163,2264,197.93,Late
SHP100097,2024-01-09,2024-01-16,2024-01-19,Vancouver WH,Quebec,DHL,Medical Supplies,43,4900,63.65,Late
SHP100098,2024-12-09,2024-12-16,2024-12-15,Calgary WH,British Columbia,FedEx,Medical Supplies,130,1185,222.23,On Time
SHP100099,2024-05-08,2024-05-16,2024-05-22,Montreal WH,British Columbia,DHL,Apparel,184,2449,222.17,Late
SHP100100,2024-05-15,2024-05-19,2024-05-25,Toronto WH,Quebec,UPS,Electronics,111,3533,206.61,Late
SHP100101,2024-03-03,2024-03-11,2024-03-15,Calgary WH,Ontario,FedEx,Home Goods,128,4370,57.72,Late
SHP100102,2024-05-18,2024-05-21,2024-05-23,Vancouver WH,Quebec,UPS,Electronics,51,4301,134.24,Late
SHP100103,2024-03-21,2024-03-27,2024-03-24,Toronto WH,Ontario,Canada Post,Medical Supplies,182,3344,49.89,On Time
SHP100104,2024-06-11,2024-06-19,2024-06-25,Calgary WH,British Columbia,FedEx,Medical Supplies,144,866,248.65,Late
SHP100105,2024-10-15,2024-10-19,2024-10-22,Toronto WH,Alberta,UPS,Apparel,146,92,203.45,Late
SHP100106,2024-09-17,2024-09-22,2024-09-22,Toronto WH,Ontario,DHL,Apparel,135,3178,162.02,On Time
SHP100107,2024-08-18,2024-08-21,2024-08-25,Calgary WH,British Columbia,Canada Post,Electronics,45,1351,116.04,Late
SHP100108,2024-02-10,2024-02-15,2024-02-14,Toronto WH,British Columbia,UPS,Apparel,164,364,71.59,On Time
SHP100109,2024-01-28,2024-02-06,2024-02-04,Montreal WH,Alberta,FedEx,Home Goods,169,4916,49.81,On Time
SHP100110,2024-05-14,2024-05-22,2024-05-17,Calgary WH,British Columbia,UPS,Home Goods,42,3718,291.39,On Time
SHP100111,2024-07-19,2024-07-22,2024-07-22,Montreal WH,British Columbia,Canada Post,Apparel,135,1924,75.9,On Time
SHP100112,2024-11-23,2024-11-29,2024-12-07,Vancouver WH,Ontario,FedEx,Home Goods,15,3095,36.76,Late
SHP100113,2024-09-24,2024-10-02,2024-10-04,Toronto WH,Ontario,Canada Post,Home Goods,60,2538,289.27,Late
SHP100114,2024-02-02,2024-02-08,2024-02-10,Vancouver WH,Alberta,UPS,Electronics,40,1296,173.71,Late
SHP100115,2024-02-17,2024-02-24,2024-02-21,Vancouver WH,Alberta,DHL,Home Goods,165,2276,243.06,On Time
SHP100116,2024-03-02,2024-03-07,2024-03-16,Toronto WH,British Columbia,DHL,Medical Supplies,194,2,32.25,Late
SHP100117,2024-08-03,2024-08-06,2024-08-15,Calgary WH,Ontario,UPS,Medical Supplies,112,3492,178.74,Late
SHP100118,2024-10-19,2024-10-25,2024-10-21,Toronto WH,Alberta,UPS,Electronics,183,1753,131.5,On Time
SHP100119,2024-04-08,2024-04-12,2024-04-17,Vancouver WH,Alberta,UPS,Apparel,77,910,236.15,Late
SHP100120,2024-06-20,2024-06-26,2024-06-27,Vancouver WH,Quebec,FedEx,Electronics,105,306,30.76,Late
SHP100121,2024-12-25,2024-12-29,2025-01-02,Calgary WH,Alberta,Canada Post,Apparel,107,4231,132.47,Late
SHP100122,2024-08-01,2024-08-09,2024-08-11,Toronto WH,British Columbia,Canada Post,Apparel,122,4015,243.74,Late
SHP100123,2024-02-04,2024-02-07,2024-02-10,Vancouver WH,Ontario,Canada Post,Apparel,80,1438,166.36,Late
SHP100124,2024-08-14,2024-08-20,2024-08-16,Montreal WH,Alberta,UPS,Apparel,125,872,174.01,On Time
SHP100125,2024-04-10,2024-04-19,2024-04-23,Vancouver WH,Quebec,Canada Post,Apparel,184,1141,47.21,Late
SHP100126,2024-05-10,2024-05-16,2024-05-21,Vancouver WH,Ontario,UPS,Electronics,172,665,57.05,Late
SHP100127,2024-09-13,2024-09-22,2024-09-21,Calgary WH,Alberta,FedEx,Apparel,185,208,209.56,On Time
SHP100128,2024-01-05,2024-01-08,2024-01-11,Montreal WH,Quebec,DHL,Home Goods,134,951,209.01,Late
SHP100129,2024-08-05,2024-08-11,2024-08-09,Vancouver WH,Alberta,UPS,Home Goods,32,1057,294.15,On Time
SHP100130,2024-09-11,2024-09-15,2024-09-24,Vancouver WH,Ontario,UPS,Apparel,108,4744,219.35,Late
SHP100131,2024-12-24,2024-12-30,2025-01-07,Montreal WH,Ontario,DHL,Home Goods,114,4722,158.11,Late
SHP100132,2024-10-09,2024-10-14,2024-10-19,Toronto WH,Ontario,DHL,Medical Supplies,146,4620,260.05,Late
SHP100133,2024-07-25,2024-08-02,2024-07-27,Toronto WH,British Columbia,FedEx,Electronics,68,4008,49.25,On Time
SHP100134,2024-01-15,2024-01-22,2024-01-17,Vancouver WH,Alberta,Canada Post,Electronics,127,1868,145.8,On Time
SHP100135,2024-12-11,2024-12-15,2024-12-13,Vancouver WH,British Columbia,UPS,Apparel,135,4864,100.39,On Time
SHP100136,2024-02-11,2024-02-16,2024-02-15,Toronto WH,Ontario,Canada Post,Apparel,114,771,49.3,On Time
SHP100137,2024-06-27,2024-07-06,2024-07-10,Calgary WH,Quebec,UPS,Medical Supplies,8,4835,233.78,Late
SHP100138,2024-03-03,2024-03-11,2024-03-10,Montreal WH,Alberta,FedEx,Apparel,64,4030,163.02,On Time
SHP100139,2024-12-17,2024-12-20,2024-12-28,Montreal WH,British Columbia,DHL,Home Goods,135,521,175.9,Late
SHP100140,2024-08-18,2024-08-22,2024-08-30,Calgary WH,Alberta,FedEx,Medical Supplies,41,3355,135.15,Late
SHP100141,2024-08-28,2024-09-04,2024-09-01,Calgary WH,Quebec,DHL,Home Goods,40,1400,148.89,On Time
SHP100142,2024-02-21,2024-02-29,2024-03-01,Calgary WH,British Columbia,Canada Post,Electronics,3,3738,52.48,Late
SHP100143,2024-04-05,2024-04-14,2024-04-16,Calgary WH,Ontario,Canada Post,Home Goods,145,4343,208.42,Late
SHP100144,2024-08-09,2024-08-16,2024-08-12,Calgary WH,British Columbia,FedEx,Electronics,194,3723,141.09,On Time
SHP100145,2024-08-18,2024-08-21,2024-08-28,Calgary WH,Alberta,DHL,Home Goods,110,3247,248.69,Late
SHP100146,2024-08-24,2024-08-27,2024-08-28,Montreal WH,Alberta,FedEx,Electronics,114,1858,74.96,Late
SHP100147,2024-05-22,2024-05-31,2024-05-28,Calgary WH,Alberta,DHL,Apparel,112,4781,77.42,On Time
SHP100148,2024-06-19,2024-06-23,2024-06-30,Toronto WH,Alberta,DHL,Home Goods,180,4064,200.81,Late
SHP100149,2024-01-29,2024-02-07,2024-02-07,Calgary WH,Ontario,Canada Post,Electronics,150,4681,256.88,On Time
SHP100150,2024-02-05,2024-02-11,2024-02-08,Calgary WH,British Columbia,Canada Post,Home Goods,4,2398,152.22,On Time
SHP100151,2024-01-13,2024-01-16,2024-01-20,Montreal WH,Ontario,DHL,Medical Supplies,134,142,223.55,Late
SHP100152,2024-06-08,2024-06-16,2024-06-21,Montreal WH,Ontario,DHL,Apparel,166,2851,299.81,Late
SHP100153,2024-11-22,2024-11-28,2024-11-28,Calgary WH,Ontario,DHL,Electronics,26,3469,297.27,On Time
SHP100154,2024-07-05,2024-07-10,2024-07-19,Montreal WH,Alberta,Canada Post,Medical Supplies,139,3695,228.41,Late
SHP100155,2024-08-30,2024-09-06,2024-09-10,Vancouver WH,Alberta,Canada Post,Home Goods,17,717,227.08,Late
SHP100156,2024-03-26,2024-04-01,2024-04-05,Montreal WH,Alberta,UPS,Medical Supplies,92,642,89.33,Late
SHP100157,2024-10-10,2024-10-17,2024-10-23,Montreal WH,British Columbia,DHL,Home Goods,31,3440,253.39,Late
SHP100158,2024-03-06,2024-03-15,2024-03-12,Montreal WH,Quebec,UPS,Apparel,163,2548,133.43,On Time
SHP100159,2024-06-18,2024-06-24,2024-06-21,Montreal WH,Alberta,DHL,Medical Supplies,144,3693,289.36,On Time
SHP100160,2024-02-14,2024-02-23,2024-02-20,Toronto WH,British Columbia,Canada Post,Apparel,107,369,42.8,On Time
SHP100161,2024-03-02,2024-03-07,2024-03-15,Toronto WH,Alberta,UPS,Electronics,146,3650,142.04,Late
SHP100162,2024-05-13,2024-05-16,2024-05-18,Toronto WH,Alberta,UPS,Home Goods,111,786,175.64,Late
SHP100163,2024-10-10,2024-10-15,2024-10-22,Calgary WH,Ontario,FedEx,Home Goods,101,949,133.44,Late
SHP100164,2024-01-28,2024-01-31,2024-02-05,Calgary WH,Ontario,DHL,Apparel,112,521,78.96,Late
SHP100165,2024-04-17,2024-04-26,2024-04-24,Vancouver WH,Ontario,Canada Post,Apparel,62,2943,186.04,On Time
SHP100166,2024-02-13,2024-02-16,2024-02-16,Toronto WH,British Columbia,FedEx,Electronics,112,354,231.66,On Time
SHP100167,2024-12-05,2024-12-12,2024-12-18,Calgary WH,Quebec,FedEx,Medical Supplies,155,2335,200.55,Late
SHP100168,2024-10-12,2024-10-20,2024-10-24,Montreal WH,Quebec,DHL,Home Goods,163,1482,85.65,Late
SHP100169,2024-11-26,2024-12-01,2024-12-08,Montreal WH,British Columbia,FedEx,Home Goods,116,1647,224.85,Late
SHP100170,2024-05-07,2024-05-13,2024-05-21,Toronto WH,Alberta,DHL,Electronics,173,3045,91.93,Late
SHP100171,2024-12-13,2024-12-18,2024-12-19,Vancouver WH,British Columbia,FedEx,Electronics,35,4631,69.06,Late
SHP100172,2024-08-18,2024-08-25,2024-08-26,Vancouver WH,Alberta,DHL,Apparel,28,2215,213.39,Late
SHP100173,2024-07-08,2024-07-11,2024-07-20,Montreal WH,British Columbia,Canada Post,Apparel,103,4716,255.98,Late
SHP100174,2024-08-12,2024-08-19,2024-08-20,Vancouver WH,British Columbia,DHL,Medical Supplies,125,427,154.83,Late
SHP100175,2024-10-09,2024-10-13,2024-10-15,Toronto WH,British Columbia,DHL,Electronics,102,2537,168.79,Late
SHP100176,2024-04-30,2024-05-04,2024-05-13,Montreal WH,Quebec,UPS,Medical Supplies,137,544,104.77,Late
SHP100177,2024-04-25,2024-05-01,2024-05-05,Calgary WH,Ontario,Canada Post,Electronics,143,2764,158.49,Late
SHP100178,2024-08-20,2024-08-27,2024-08-25,Calgary WH,British Columbia,Canada Post,Home Goods,21,4919,56.96,On Time
SHP100179,2024-09-15,2024-09-24,2024-09-27,Vancouver WH,Quebec,Canada Post,Electronics,52,3765,287.63,Late
SHP100180,2024-12-24,2024-12-30,2024-12-28,Montreal WH,Ontario,FedEx,Electronics,163,658,244.1,On Time
SHP100181,2024-07-16,2024-07-25,2024-07-21,Montreal WH,Ontario,UPS,Home Goods,97,2827,207.03,On Time
SHP100182,2024-05-16,2024-05-22,2024-05-22,Calgary WH,British Columbia,Canada Post,Electronics,51,2058,170.69,On Time
SHP100183,2024-11-13,2024-11-17,2024-11-27,Montreal WH,Alberta,FedEx,Medical Supplies,83,3327,241.81,Late
SHP100184,2024-06-13,2024-06-19,2024-06-20,Montreal WH,Alberta,FedEx,Apparel,55,730,158.53,Late
SHP100185,2024-08-12,2024-08-16,2024-08-16,Montreal WH,Alberta,FedEx,Apparel,77,1832,103.99,On Time
SHP100186,2024-11-02,2024-11-05,2024-11-05,Vancouver WH,British Columbia,UPS,Medical Supplies,127,408,64.9,On Time
SHP100187,2024-08-21,2024-08-30,2024-09-04,Montreal WH,Alberta,FedEx,Home Goods,172,4179,201.32,Late
SHP100188,2024-06-20,2024-06-27,2024-06-25,Toronto WH,Quebec,UPS,Electronics,193,3247,280.24,On Time
SHP100189,2024-05-31,2024-06-06,2024-06-06,Vancouver WH,Quebec,DHL,Medical Supplies,93,4802,63.01,On Time
SHP100190,2024-11-10,2024-11-14,2024-11-15,Montreal WH,Quebec,FedEx,Apparel,88,133,70.41,Late
SHP100191,2024-06-08,2024-06-13,2024-06-20,Montreal WH,Quebec,Canada Post,Apparel,80,4883,141.41,Late
SHP100192,2024-04-05,2024-04-14,2024-04-19,Toronto WH,Ontario,FedEx,Medical Supplies,153,4959,245.93,Late
SHP100193,2024-08-20,2024-08-26,2024-09-02,Vancouver WH,Quebec,DHL,Apparel,92,666,102.3,Late
SHP100194,2024-06-28,2024-07-06,2024-07-02,Calgary WH,Alberta,DHL,Medical Supplies,47,276,91.1,On Time
SHP100195,2024-04-22,2024-04-25,2024-05-01,Calgary WH,British Columbia,FedEx,Apparel,184,3307,193.59,Late
SHP100196,2024-11-13,2024-11-16,2024-11-24,Vancouver WH,Alberta,DHL,Medical Supplies,38,881,169.97,Late
SHP100197,2024-02-21,2024-02-26,2024-02-26,Montreal WH,Quebec,UPS,Electronics,139,2060,36.86,On Time
SHP100198,2024-09-24,2024-09-28,2024-09-27,Montreal WH,Ontario,UPS,Electronics,195,2082,42.82,On Time
SHP100199,2024-10-21,2024-10-27,2024-10-24,Calgary WH,Quebec,FedEx,Electronics,15,1237,200.04,On Time
SHP100200,2024-04-22,2024-05-01,2024-04-24,Calgary WH,British Columbia,UPS,Electronics,1,2452,150.23,On Time
SHP100201,2024-04-10,2024-04-14,2024-04-24,Calgary WH,Alberta,UPS,Apparel,135,158,291.87,Late
SHP100202,2024-04-22,2024-04-25,2024-04-27,Toronto WH,British Columbia,Canada Post,Home Goods,1,2596,209.99,Late
SHP100203,2024-03-21,2024-03-25,2024-04-01,Calgary WH,British Columbia,FedEx,Medical Supplies,49,3815,22.82,Late
SHP100204,2024-07-05,2024-07-08,2024-07-15,Toronto WH,British Columbia,DHL,Home Goods,96,4374,154.69,Late
SHP100205,2024-04-22,2024-04-26,2024-05-04,Vancouver WH,Alberta,FedEx,Apparel,157,2526,136.05,Late
SHP100206,2024-01-02,2024-01-07,2024-01-10,Montreal WH,Quebec,UPS,Apparel,26,110,49.88,Late
SHP100207,2024-05-09,2024-05-16,2024-05-22,Calgary WH,British Columbia,Canada Post,Home Goods,87,541,278.5,Late
SHP100208,2024-08-07,2024-08-12,2024-08-18,Montreal WH,Alberta,FedEx,Home Goods,173,1138,245.4,Late
SHP100209,2024-02-23,2024-02-28,2024-03-02,Montreal WH,Ontario,FedEx,Apparel,93,3283,84.42,Late
SHP100210,2024-12-08,2024-12-15,2024-12-22,Calgary WH,Alberta,UPS,Apparel,102,3610,91.67,Late
SHP100211,2024-08-11,2024-08-18,2024-08-19,Calgary WH,Ontario,UPS,Medical Supplies,71,4455,28.97,Late
SHP100212,2024-08-12,2024-08-18,2024-08-21,Vancouver WH,Alberta,FedEx,Electronics,140,3557,103.08,Late
SHP100213,2024-05-05,2024-05-14,2024-05-07,Toronto WH,Quebec,UPS,Electronics,95,2419,183.69,On Time
SHP100214,2024-05-09,2024-05-18,2024-05-20,Toronto WH,British Columbia,UPS,Medical Supplies,160,1756,137.84,Late
SHP100215,2024-02-22,2024-02-28,2024-03-07,Montreal WH,Quebec,UPS,Home Goods,118,3086,291.39,Late
SHP100216,2024-06-20,2024-06-25,2024-07-01,Calgary WH,Alberta,UPS,Apparel,148,2306,35.7,Late
SHP100217,2024-08-05,2024-08-10,2024-08-14,Vancouver WH,British Columbia,UPS,Home Goods,119,975,185.6,Late
SHP100218,2024-06-08,2024-06-11,2024-06-13,Vancouver WH,Ontario,Canada Post,Electronics,51,722,260.33,Late
SHP100219,2024-07-16,2024-07-19,2024-07-21,Vancouver WH,Alberta,UPS,Electronics,81,2570,154.61,Late
SHP100220,2024-09-03,2024-09-12,2024-09-08,Vancouver WH,British Columbia,DHL,Home Goods,36,324,20.83,On Time
SHP100221,2024-11-19,2024-11-25,2024-11-26,Vancouver WH,Ontario,FedEx,Electronics,67,1529,87.98,Late
SHP100222,2024-07-21,2024-07-29,2024-07-29,Toronto WH,Ontario,Canada Post,Apparel,129,1945,110.66,On Time
